"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"X877_Inf_Air.quality",0.390586798734434,-0.0237251017498582,-0.1850450474851,0.326156044293203,-0.0688055547144178,-0.0991299635825286,0.537381462130685,0.631065396889159,0.0683749078868723,0.00108826147533785
"X671_Inf_Education",0.490781838571853,0.060459684047309,0.0966310379010028,-0.102899293548336,0.14562794888968,-0.0712017004306724,-0.122272682048528,-0.161071037391156,0.449815853243165,0.68267563315373
"X809_Inf_Education",0.455524318662811,0.160617585801647,0.237216741753705,-0.171164288827021,0.118330471168257,0.0169081051834684,-0.0745646299350016,0.0482243463973134,-0.805081056020255,0.103930876484569
"X744_Inf_Education",0.217989415140111,0.076378719894629,-0.176027733386784,0.623675865165906,-0.139856815808123,0.634001145116446,-0.171433306504753,-0.269777260681927,-0.0543307805371515,-0.00715504797152319
"X974_Inf_Education",0.458933310867385,0.170150655953717,0.288916644732298,-0.0840374555502393,0.190061239224819,-0.00995309904911991,-0.139228836862498,-0.0478028511697051,0.343643955799225,-0.702787706301385
"X569_Inf_Leisure.and.cultural.activities",0.183660478174833,-0.640376225846166,-0.148763662350985,-0.0967440671485709,-0.193241638152779,0.0156497760744234,-0.5968814564846,0.358832649289508,-0.00426777139836247,-0.0454232648752321
"X198_Inf_Leisure.and.cultural.activities",0.285305421465858,-0.428054646456863,-0.436191786898833,-0.061329658412991,0.0478749604658382,-0.270378179364396,0.309311553876651,-0.576140607642928,-0.121115303764071,-0.153845729583901
"X484_Inf_Nature.based.assets",0.021449956181654,-0.441454712673879,0.596502371621271,-0.163144109364822,-0.3181830787173,0.374689495781013,0.407793423310378,-0.0998865482854856,0.0562503727361064,0.0340141644083797
"X633_Inf_Nature.based.assets",-0.072051005139145,-0.196153160524795,0.465045710086556,0.641568017760758,0.0367939105563379,-0.537515014127458,-0.131056888088481,-0.118682936825611,-0.075671223027865,0.0345209026707816
"X1041_Inf_Security.and.safety",0.141956905536147,0.329435829867904,-0.0348411510821106,-0.0797283782563881,-0.873008812189454,-0.283014635552137,-0.0807720823364623,-0.11687721430283,0.0146523787394565,-0.0333012920724505
